"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,1096468306.808001,1572009689.801730,0,36,0,0,yes,1.000000
24,,5609395621.579964,12120084764.472105,0,267,0,0,yes,1.000000
23,,469798696.622515,2006201037.005870,0,45,0,0,yes,1.000000
22,,3384307306.297791,4142155657.049790,0,121,0,0,yes,1.000000
21,,442251180.267135,519183599.533690,0,13,0,0,yes,1.000000
20,,812126096.550814,1278053247.103970,0,58,0,0,yes,1.000000
19,,714455355.802341,763802191.990710,0,25,0,0,yes,1.000000
18,,5992419.187795,6082361.590820,0,2,0,0,yes,1.000000
17,,38223068.882032,79791606.939450,0,4,0,0,yes,1.000000
16,,5360340680.502813,15898094012.016911,0,278,0,0,yes,1.000000
15,,475740709.534277,707006168.894030,0,23,0,0,yes,1.000000
14,,117877661.072850,232064318.379390,0,10,0,0,yes,1.000000
13,,106357780.196526,502374045.775850,0,70,0,0,yes,1.000000
12,,108383939.453124,516558978.560540,0,53,0,0,yes,1.000000
11,,203099116.837551,937823203.549290,0,158,0,0,yes,1.000000
10,,110332387.515864,313587745.751410,0,54,0,0,yes,1.000000
9,,238284629.509380,294969214.124990,0,19,0,0,yes,1.000000
8,,257928662.232081,1577299475.053711,0,159,0,0,yes,1.000000
7,,434248527.484422,2079373085.133800,0,159,0,0,yes,1.000000
6,,468737987.304786,3110367870.165517,0,152,0,0,yes,1.000000
5,,301455310.442283,1037613129.072750,0,54,0,0,yes,1.000000
4,,107541997.643654,160523411.576180,0,11,0,0,yes,1.000000
3,,276535527.748922,287058136.548330,0,16,0,0,yes,1.000000
2,,192323344.329095,223221130.399900,0,22,0,0,yes,1.000000
1,,118118429.428616,120555442.364260,0,5,0,0,yes,1.000000
